id,digit
2049,2
2050,7
2051,3
2052,0
2053,3
2054,7
2055,6
2056,3
2057,8
2058,8
2059,1
2060,0
2061,1
2062,4
2063,1
2064,0
2065,7
2066,0
2067,1
2068,4
2069,3
2070,4
2071,7
2072,8
2073,3
2074,7
2075,0
2076,1
2077,9
2078,8
2079,8
2080,1
2081,2
2082,5
2083,5
2084,9
2085,1
2086,6
2087,2
2088,8
2089,5
2090,9
2091,3
2092,5
2093,3
2094,0
2095,2
2096,6
2097,2
2098,1
2099,7
2100,9
2101,9
2102,6
2103,2
2104,5
2105,1
2106,0
2107,3
2108,8
2109,6
2110,8
2111,3
2112,1
2113,9
2114,6
2115,0
2116,3
2117,9
2118,6
2119,5
2120,6
2121,9
2122,4
2123,5
2124,2
2125,2
2126,7
2127,1
2128,7
2129,7
2130,6
2131,1
2132,1
2133,1
2134,0
2135,6
2136,2
2137,9
2138,0
2139,0
2140,2
2141,0
2142,7
2143,7
2144,6
2145,3
2146,7
2147,0
2148,7
2149,2
2150,9
2151,3
2152,0
2153,0
2154,8
2155,0
2156,9
2157,4
2158,5
2159,7
2160,2
2161,7
2162,0
2163,1
2164,5
2165,3
2166,5
2167,1
2168,0
2169,7
2170,0
2171,9
2172,8
2173,6
2174,8
2175,5
2176,1
2177,1
2178,7
2179,1
2180,7
2181,9
2182,7
2183,6
2184,7
2185,8
2186,3
2187,0
2188,4
2189,3
2190,7
2191,5
2192,2
2193,6
2194,5
2195,8
2196,5
2197,8
2198,0
2199,9
2200,8
2201,6
2202,8
2203,0
2204,7
2205,4
2206,3
2207,8
2208,4
2209,0
2210,0
2211,1
2212,8
2213,8
2214,1
2215,5
2216,6
2217,4
2218,1
2219,4
2220,6
2221,4
2222,8
2223,0
2224,1
2225,4
2226,5
2227,0
2228,7
2229,6
2230,5
2231,6
2232,0
2233,4
2234,0
2235,7
2236,5
2237,2
2238,6
2239,3
2240,4
2241,0
2242,6
2243,8
2244,6
2245,5
2246,8
2247,0
2248,5
2249,1
2250,8
2251,1
2252,1
2253,6
2254,6
2255,0
2256,8
2257,7
2258,9
2259,5
2260,4
2261,2
2262,3
2263,1
2264,0
2265,4
2266,0
2267,0
2268,4
2269,2
2270,6
2271,8
2272,9
2273,5
2274,4
2275,5
2276,9
2277,6
2278,7
2279,7
2280,4
2281,8
2282,9
2283,1
2284,1
2285,4
2286,7
2287,2
2288,5
2289,1
2290,8
2291,1
2292,8
2293,1
2294,8
2295,2
2296,6
2297,3
2298,8
2299,0
2300,7
2301,1
2302,9
2303,8
2304,6
2305,2
2306,3
2307,1
2308,1
2309,1
2310,1
2311,8
2312,5
2313,0
2314,2
2315,8
2316,4
2317,8
2318,7
2319,2
2320,5
2321,5
2322,7
