"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20200530","11000","서울시","10822463.15050","10346637.49410","407623.10800","68202.54840","10895627.70290","10723464.33500","10821790.69090","10822943.47880","5052239.12890","1101178.24910","2155515.34910","1795545.53070"
"20200530","11110","종로구","268649.59740","250902.87360","15975.18000","1771.54380","328024.16380","226526.11740","306858.28780","241357.67560","194253.40520","48312.16280","33503.51130","112437.73110"
"20200530","11140","중구","226476.70080","204347.93470","18950.55450","3178.21160","286393.58180","176895.90620","264293.09830","199464.98830","177680.92630","42604.39010","30475.89450","104600.64170"
"20200530","11170","용산구","294396.12380","269236.45100","22365.75040","2793.92240","307986.98230","280171.46350","303586.28810","287831.72080","150257.47020","36249.85870","49287.59510","64720.01640"
"20200530","11200","성동구","348750.57820","329272.61720","16714.56520","2763.39580","354941.18430","342307.13710","349868.96710","347951.72900","164875.07990","30242.74980","61207.30530","73425.02480"
"20200530","11215","광진구","404500.62590","378029.34750","23532.16890","2939.10960","416267.20240","391922.35330","396285.63460","410368.47690","175102.08560","36148.66680","79663.35960","59290.05920"
"20200530","11230","동대문구","381345.35600","354229.88520","24610.56910","2504.90170","392109.14380","367084.64590","375373.99380","385610.61470","166345.09230","28074.45550","73325.92190","64944.71490"
"20200530","11260","중랑구","369817.34650","362827.81080","6330.74320","658.79260","393851.49430","342786.05200","350585.61770","383554.29570","152828.18150","25057.35910","91560.22080","36210.60160"
"20200530","11290","성북구","452843.67310","433021.07520","15808.58130","4014.01660","474726.67200","426999.99960","436360.59830","464617.29800","174322.20580","24218.67270","86213.92680","63889.60630"
"20200530","11305","강북구","314385.57380","308438.27470","5370.83860","576.46050","332769.28190","293213.47480","299829.60320","324782.69570","176629.64360","14357.39460","118451.21640","43821.03260"
"20200530","11320","도봉구","289850.06770","286465.99400","3077.15870","306.91500","301667.13560","275192.96880","280520.25990","296514.21610","135351.11200","20170.87110","72201.49810","42978.74280"
"20200530","11350","노원구","542726.37310","536505.46000","5373.90030","847.01280","567314.32600","514244.12630","522646.09960","557069.42550","215852.63980","35914.69020","125554.30960","54383.64000"
"20200530","11380","은평구","467579.31570","459188.23520","7278.68770","1112.39280","497747.05960","433059.58380","443982.73570","484434.01570","178305.35110","31458.19490","110492.34000","36354.81620"
"20200530","11410","서대문구","373221.89340","347363.81600","22337.26880","3520.80860","380341.72830","362860.37350","368476.80050","376611.24550","162987.70000","29744.96760","63444.23010","69798.50230"
