키값,연도,학교종류,학교명,본분교,학교상태,설립,우편번호,주소,도로명주소,행정시,행정구,행정동,전화번호,팩스번호,홈페이지,위도,경도
BE_LiST23-0034,2013,일반대학,서울시립대학교,본교,기존,공립,,서울 동대문구 서울시립대로 163 (전농동 90번지) ,,서울특별시,동대문구,휘경2동,02-6490-6114,02-2210-5576,http://www.uos.ac.kr,37.58257758,127.0599881
BE_LiST23-0035,2013,전문대학(3년제),서울여자간호대학교,본교,기존,사립,,서울 서대문구 간호대로 38,,서울특별시,서대문구,홍제2동,02-2287-1700,02-395-8018,http://www.snjc.ac.kr,0,0
BE_LiST23-0036,2013,일반대학,서울여자대학교,본교,기존,사립,,서울특별시 노원구 화랑로 621 서울여자대학교,,서울특별시,노원구,공릉2동,02-970-5114,02-978-7931,http://www.swu.ac.kr,37.62878266,127.0889915
BE_LiST23-0037,2013,전문대학(2년제),서일대학교,본교,학교명 변경,사립,,서울 중랑구 면목동 49-3,,서울특별시,중랑구,면목제3.8동,02-490-7300,02-493-2576,http://www.seoil.ac.kr,0,0
BE_LiST23-0038,2013,일반대학,성공회대학교,본교,기존,사립,,서울 구로구 연동로 320,,서울특별시,구로구,오류2동,02-2610-4142,02-2610-4248,http://www.skhu.ac.kr,0,0
BE_LiST23-0039,2013,일반대학,성균관대학교,본교,기존,사립,,서울 종로구 성균관로 25-2,,서울특별시,종로구,종로1.2.3.4가동,02-760-0114,,http://www.skku.edu,0,0
BE_LiST23-0040,2013,일반대학,성신여자대학교,본교,기존,사립,,서울 강북구 도봉로76가길 55,,서울특별시,성북구,동선동,02-920-7114,02-920-2018,http://www.sungshin.ac.kr,0,0
BE_LiST23-0041,2013,일반대학,세종대학교,본교,기존,사립,,서울 광진구 능동로 209,,서울특별시,광진구,군자동,02-3408-3114,02-3408-3906,http://www.sejong.ac.kr,0,0
BE_LiST23-0042,2013,일반대학,숙명여자대학교,본교,기존,사립,,서울 용산구 청파로47길 100 숙명여자대학교,,서울특별시,용산구,청파동,,,http://www.sookmyung.ac.kr/,37.54547408,126.9650744
BE_LiST23-0043,2013,일반대학,숭실대학교,본교,기존,사립,,서울 동작구 상도동 511 숭실대학교,,서울특별시,동작구,상도1동,02-820-0114,,http://www.ssu.ac.kr,37.49635423,126.957222
BE_LiST23-0044,2013,전문대학(2년제),숭의여자대학교,본교,기존,사립,,서울특별시 중구 소파로2길 10(예장동),,서울특별시,중구,필동,02-3708-9000,02-773-2625,http://www.sewc.ac.kr,37.55785307,126.9874816
BE_LiST23-0045,2013,일반대학,연세대학교,본교,기존,사립,,서울 서대문구 연세로 50,,서울특별시,서대문구,신촌동,02-2123-2114,02-392-0618,http://www.yonsei.ac.kr,0,0
BE_LiST23-0046,2013,일반대학,이화여자대학교,본교,기존,사립,,서울 서대문구 대현동 11-1 이화여자대학교,,서울특별시,서대문구,신촌동,02-3277-2114,02-393-5903,http://www.ewha.ac.kr,37.56256102,126.9474534
BE_LiST23-0047,2013,전문대학(2년제),인덕대학교,본교,기존,사립,,서울 노원구 초안산로 12,,서울특별시,노원구,월계2동,02-950-7000,02-906-5340,http://www.induk.ac.kr,37.63034387,127.0544999
BE_LiST23-0048,2013,일반대학,장로회신학대학교,본교,기존,사립,,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,,서울특별시,광진구,광장동,02-450-0700,,http://www.pcts.ac.kr,37.5502659,127.1031347
BE_LiST23-0050,2013,일반대학,중앙대학교 서울캠퍼스,본교,기존,사립,,서울 동작구 흑석로 84,,서울특별시,동작구,흑석동,02-820-5114,,http://www.cau.ac.kr,37.50472672,126.9538339
BE_LiST23-0051,2013,일반대학,총신대학교,본교,기존,사립,,서울 동작구 사당동 산31-3,,서울특별시,동작구,사당3동,02-3479-0200,02-536-2602,http://www.chongshin.ac.kr,37.49087911,126.9671821
BE_LiST23-0052,2013,일반대학,추계예술대학교,본교,기존,사립,,서울 서대문구 북아현동 190-1 추계예술대학교,,서울특별시,서대문구,충현동,02-362-5700,02-392-1777,http://www.chugye.ac.kr,37.56271638,126.9533225
BE_LiST23-0053,2013,방송통신대학,한국방송통신대학교 성동캠퍼스,본교,기존,국립,,서울 성동구 아차산로 12,,서울특별시,종로구,이화동,02-3668-4114,02-744-5882,http://www.knou.ac.kr,0,0
BE_LiST23-0054,2013,일반대학,한국성서대학교,본교,기존,사립,,서울 노원구 상계동 205-4,,서울특별시,노원구,상계6.7동,02-950-5401,02-950-5411,http://www.bible.ac.kr,0,0
BE_LiST23-0055,2013,각종대학(대학),한국예술종합학교,본교,기존,특별법국립,,서울 성북구 석관동 ,,서울특별시,성북구,석관동,,,,37.61298602,127.0614008
BE_LiST23-0056,2013,일반대학,한국외국어대학교,본교,기존,사립,,서울 동대문구 이문로 107,,서울특별시,동대문구,이문1동,02-2173-2114,,http://www.hufs.ac.kr,37.59829668,127.0579424
BE_LiST23-0057,2013,일반대학,한국체육대학교,본교,기존,국립,,서울 송파구 양재대로 1239,,서울특별시,송파구,오륜동,02-410-6564,02-410-6569,http://www.knsu.ac.kr/,0,0
BE_LiST23-0058,2013,기능대학,한국폴리텍 I 대학 서울강서캠퍼스,본교,기존,사립,,서울 강서구 화곡동 산60-1,,서울특별시,강서구,우장산동,02-2186-5800,02-2186-5819,http://kangseo.kopo.ac.kr,37.55040237,126.8435532
BE_LiST23-0059,2013,기능대학,한국폴리텍Ⅰ대학 서울정수캠퍼스,본교,기존,사립,,서울 용산구 보광로 73(보광동 238),,서울특별시,용산구,보광동,02-2001-4000,02-2001-4119,http://jungsu.kopo.ac.kr,37.52997497,126.996817
BE_LiST23-0060,2013,일반대학,한성대학교,본교,기존,사립,,서울 성북구 삼선교로16길 116,,서울특별시,성북구,삼선동,02-760-4231,02-745-8943,http://www.hansung.ac.kr,0,0
