"교유번호","명칭","파일경로","위도","경도"
"136","아산병원정문앞","성내천 길.kmz","37.5248792","127.1071216"
"137","아산병원 인근","성내천 길.kmz","37.5237702","127.1078833"
"138","풍납중학교","성내천 길.kmz","37.5233594","127.1164072"
"139","몽촌토성 인근","성내천 길.kmz","37.5247289","127.1188732"
"140","올림픽수영장 인근","성내천 길.kmz","37.5216593","127.1281322"
"141","오륜주민센터 인근","성내천 길.kmz","37.5146104","127.1342605"
"142","아남아파트 인근","성내천 길.kmz","37.5002228","127.1464863"
"143","올림픽공원역 지하철 5호선","성내천 길.kmz","37.5160647","127.1304996"
"133","강일리버파크2단지 인근","망월천길.kmz","37.5700975","127.1752743"
"144","올림픽공원","성내천 길.kmz","37.5205609","127.1225323"
"145","몽촌토성 역사관","성내천 길.kmz","37.5237802","127.124015"
"146","거여역 지하철 5호선","성내천 길.kmz","37.492983","127.1442071"
"147","옥수역 지하철 중앙선","성동광진구한강길.kmz","37.54031","127.0185835"
"148","옥수역 인근","성동광진구한강길.kmz","37.5407573","127.0192023"
"149","응봉역 지하철 중앙선","성동광진구한강길.kmz","37.5498018","127.0342476"
"150","서울숲 인근","성동광진구한강길.kmz","37.5397395","127.0362782"
"151","영동대교 인근","성동광진구한강길.kmz","37.532717","127.0590538"
"152","뚝섬유원지역 지하철 7호선","성동광진구한강길.kmz","37.5311133","127.0664605"
"153","뚝섬유원지","성동광진구한강길.kmz","37.5291449","127.069428"
"154","뚝섬유원지 잠실대교 인근","성동광진구한강길.kmz","37.5268549","127.0811871"
"155","동서울터미널 인근","성동광진구한강길.kmz","37.5332672","127.0954514"
"156","올림픽대교 강변북로 인근","성동광진구한강길.kmz","37.5405845","127.1040527"
"157","쉐라톤워커힐호텔 인근","성동광진구한강길.kmz","37.5561846","127.1132846"
"158","고구려대장간마을 버스정류장","성동광진구한강길.kmz","37.563633","127.114976"
"159","한성대입구역 지하철 4호선","성북천 길.kmz/임시 장소","37.5883807","127.0064571"
"160","목감천공영무료주차장","목감천.kmz","37.4875727","126.8595102"
"161","개봉3동주민센터 인근","목감천.kmz","37.4855579","126.8559823"
"162","광일초등학교 인근","목감천.kmz","37.4719714","126.8453231"
"163","천왕역 지하철 7호선","목감천.kmz","37.487046","126.8384395"
"164","구로문화원","목감천.kmz","37.4974934","126.8646318"
"165","아리랑 아트홀","성북천 길.kmz/임시 장소","37.5802856","127.0042009"
"166","삼일자동차운전전문학원","세곡천.kmz","37.4642907","127.1201418"
"167","대왕초등학교 인근","세곡천.kmz","37.462821","127.1052562"
"168","세곡리엔파크1단지 인근","세곡천.kmz","37.464614","127.1012007"
"1","국립재활원","가오천 길.kmz","37.6388016","127.0101633"
"2","강북문화예술회관(삼각산)","가오천 길.kmz","37.6406358","127.0135229"
"3","본원정사","가오천 길.kmz","37.6379472","127.0064667"
"4","수유역 지하철 4호선","가오천 길.kmz","37.6375825","127.0252298"
"5","본원정사 인근","가오천 길.kmz","37.6380651","127.0062973"
"6","국립재활원 인근","가오천 길.kmz","37.6385921","127.0087576"
"7","한강홍수통제소 인근","강남서초한강길.kmz","37.5054945","126.9815107"
"8","달빛광장 인근","강남서초한강길.kmz","37.5128395","127.0001018"
"9","성수대교 인근","강남서초한강길.kmz","37.5343914","127.0307693"
"10","한양8차아파트 인근","강남서초한강길.kmz","37.5311139","127.0428126"
"11","구산아파트 인근","강남서초한강길.kmz","37.5275586","127.0546637"
"12","청담도로공원 인근","강남서초한강길.kmz","37.5208735","127.0643853"
"13","서울국립중앙도서관","강남서초한강길.kmz","37.4977665","127.0034908"
"14","서울무역전시컨벤션센터","강남서초한강길.kmz","37.495888","127.0721718"
"15","국립중앙박물관","강남서초한강길.kmz","37.5237684","126.9820416"
"16","동작역 4 9호선","강남서초한강길.kmz","37.5019979","126.9806148"
"17","압구정역 지하철 3호선","강남서초한강길.kmz","37.5272159","127.0280605"
"18","방화역 5호선","강서한강길.kmz/임시 장소","37.5774665","126.8122743"
"19","양천향교역 9호선","강서한강길.kmz/임시 장소","37.5683798","126.8412614"
"20","가양역 9호선","강서한강길.kmz/임시 장소","37.5609659","126.8550524"
"21","서울도시철도공사방화차량기지 인근","강서한강길.kmz/임시 장소","37.5906503","126.8082821"
"22","강서습지생태공원 인근","강서한강길.kmz/임시 장소","37.5861694","126.8184115"
"23","축구장 인근","강서한강길.kmz/임시 장소","37.5831895","126.8235433"
"24","양천향교 인근","강서한강길.kmz/임시 장소","37.5761314","126.84127"
"25","가양역 인근","강서한강길.kmz/임시 장소","37.5660281","126.8587281"
"26","풍산심씨문정공파묘역","강서한강길.kmz/임시 장소","37.5799207","126.8075302"
"27","양천향교","강서한강길.kmz/임시 장소","37.5730823","126.8397247"
"28","방화근린공원","강서한강길.kmz/임시 장소","37.5831825","126.8118567"
"29","강서구민올림픽체육관","강서한강길.kmz/임시 장소","37.5594148","126.850478"
"30","강동공영차고지 인근","고덕천 길.kmz","37.5624643","127.1730008"
"31","고덕주공6단지 인근","고덕천 길.kmz","37.5516235","127.1733681"
"32","청룡산 인근","도림천.kmz","37.4708489","126.9428358"
"33","도림천역 지하철 2호선","도림천.kmz","37.5144404","126.8824381"
"34","버스정류장(서울대학교)","도림천.kmz","37.466856","126.9478541"
"35","도봉역 1호선","도봉천 길.kmz","37.6801422","127.0457975"
"36","도봉로171길 인근","도봉천 길.kmz","37.6791267","127.0422215"
"37","장군봉근린공원 인근","도림천.kmz","37.4773108","126.936507"
"38","무궁화제작소 인근","도봉천 길.kmz","37.6774308","127.0345396"
"39","형진빌라 인근","도봉천 길.kmz","37.6839723","127.042236"
"40","도봉177길 인근","도봉천 길.kmz","37.6828145","127.0437366"
"41","성균관대도봉선수촌 인근","도봉천 길.kmz","37.6799998","127.0486736"
"42","국립공원산악박물관","도봉천 길.kmz","37.6860671","127.0327773"
"43","가든파이브 인근","독정천.kmz","37.478424","127.1178597"
"44","서울자원 인근","독정천.kmz","37.4643988","127.1218954"
"45","독정천끝 인근","독정천.kmz","37.4564132","127.1181329"
"46","장지역 8호선","독정천.kmz","37.4788981","127.1258636"
"47","가든파이브","독정천.kmz","37.4775713","127.1249213"
"48","난지물재생센터 인근","마포한강길.kmz","37.5840621","126.8484086"
"49","한강수변 인근","마포한강길.kmz","37.5772206","126.856989"
"50","패쇄형늪지 인근","마포한강길.kmz","37.573656","126.866094"
"51","난지한강공원 인근","마포한강길.kmz","37.5694005","126.8714137"
"52","망원초록길 인근","마포한강길.kmz","37.5520128","126.9000771"
"53","한강시민공원망원지구 인근","마포한강길.kmz","37.5478957","126.9054608"
"54","강변북로 인근","마포한강길.kmz","37.542906","126.9159106"
"55","밤섬","마포한강길.kmz","37.5402398","126.9262783"
"56","마포대교 인근","마포한강길.kmz","37.5377623","126.9412203"
"57","월드컵경기장역 지하철 6호선","마포한강길.kmz","37.5691102","126.8991757"
"58","난지한강공원","마포한강길.kmz","37.5693292","126.8739773"
"59","마포역 지하철 5호선","마포한강길.kmz","37.5407035","126.9471424"
"60","강동중학교 인근","망월천길.kmz","37.5702989","127.1780515"
"61","강일리버파크1단지 정문","망월천길.kmz","37.5679944","127.1730398"
"62","철산교앞","목감천.kmz","37.488186","126.8593954"
"63","디지털미디어시티역","불광천길.kmz/임시 장소","37.5755851","126.9012458"
"64","월드컵경기장역 인근","불광천길.kmz","37.5697663","126.8997831"
"65","중산역(명지대앞) 인근","불광천길.kmz","37.5845641","126.9106299"
"66","응암역 인근","불광천길.kmz","37.598619","126.9158727"
"67","평강성서유물박물관","목감천.kmz","37.4920581","126.8447287"
"68","브라운스톤태릉아파트 인근","묵동천길.kmz","37.6193835","127.0825509"
"69","태릉입구역 지하철 6호선","묵동천길.kmz","37.6171209","127.0750793"
"70","화랑대역 지하철 6호선","묵동천길.kmz","37.6200964","127.0846367"
"71","태릉고등학교 인근","묵동천길.kmz","37.6200365","127.0873591"
"72","중랑소방서 인근","묵동천길.kmz","37.6158707","127.0956876"
"73","서울메디컬타워 인근","묵동천길.kmz","37.6143309","127.0987936"
"74","강일리버파크1단지 인근","망월천길.kmz","37.5686017","127.1707836"
"75","육사아파트 인근","묵동천길.kmz","37.6214262","127.0904493"
"76","중랑구립정보도서관","묵동천길.kmz","37.6154222","127.0870621"
"77","동작역 지하철 49호선","반포천.kmz","37.5032783","126.9801529"
"78","동작역 인근","반포천.kmz","37.5034092","126.9799178"
"79","구반포역 지하철 9호선","반포천.kmz","37.5012888","126.9873028"
"80","반포주공아파트 인근","반포천.kmz","37.4995506","126.9914625"
"81","반포종합운동장 인근","반포천.kmz","37.4994348","126.9956297"
"82","고속터미널역 지하철 37호선","반포천.kmz","37.5032724","127.00518"
"83","고속터미널역 인근","반포천.kmz","37.5020454","127.0022546"
"84","벽산1차아파트 인근","방학천 길.kmz","37.6600735","127.0332323"
"85","제일시장 인근","방학천 길.kmz","37.6617509","127.0381876"
"86","정병원빌딩 인근","방학천 길.kmz","37.6617039","127.0418307"
"87","동아엔지니어링 인근","방학천 길.kmz","37.6614795","127.0486081"
"88","방학동도깨비시장 인근","방학천 길.kmz","37.665367","127.0358531"
"89","방학역 지하철 1호선","방학천 길.kmz","37.6669814","127.0443041"
"90","월드컵경기장역","불광천길.kmz/임시 장소","37.5693585","126.8993659"
"91","중산역(명지대앞)","불광천길.kmz/임시 장소","37.584429","126.910353"
"92","응암역","불광천길.kmz/임시 장소","37.5988564","126.9157237"
"93","마포구청역 인근","불광천길.kmz","37.5663008","126.8995565"
"94","문희공유창모역입구","고덕천 길.kmz","37.5468166","127.1697728"
"95","상일동역 지하철 5호선","고덕천 길.kmz","37.5566483","127.1662172"
"96","굴포천하류 인근","굴포천.kmz","37.5783053","126.7838173"
"97","김포공항 인근","굴포천.kmz","37.5625134","126.7792502"
"98","굴포천 상류 인근","굴포천.kmz","37.5504814","126.7813022"
"99","덕산초등학교대장분교장 인근","굴포천.kmz","37.540618","126.7869943"
"101","개화역 지하철 9호선","굴포천.kmz","37.5785109","126.7978782"
"102","고덕리엔파크1단지","고덕천 길.kmz","37.5606934","127.1707318"
"103","상계역 4호선","당현천길.kmz/임시 장소","37.6598674","127.0727203"
"104","중계역 지하철 7호선","당현천길.kmz/임시 장소","37.6453752","127.0637703"
"105","노원청소년수련관","당현천길.kmz/임시 장소","37.6415945","127.059989"
"106","노원문화의거리","당현천길.kmz/임시 장소","37.6556449","127.0634278"
"107","노원구민체육센터","당현천길.kmz/임시 장소","37.6478467","127.0704291"
"108","상계역 인근","당현천길.kmz","37.6595559","127.0722881"
"109","양지마을 대림2차 아파트 인근","당현천길.kmz","37.654275","127.0719691"
"110","학여울청구아파트 인근","당현천길.kmz","37.6382058","127.0594123"
"100","고덕차량기지 인근","고덕천 길.kmz","37.5669126","127.1637008"
"111","강북청소년수련관","대동천 길.kmz","37.6461779","127.0061144"
"112","4.19국립민주묘지","대동천 길.kmz","37.6484992","127.0082025"
"113","선일교통종점 인근","대동천 길.kmz","37.6454507","127.0052769"
"114","국립419묘지 (09-197)","대동천 길.kmz","37.6469816","127.0090269"
